id,time,dayPower,capacity
606,2017-01-01,0,55
606,2017-01-02,0,55
606,2017-01-03,0,55
606,2017-01-04,0,55
606,2017-01-05,0,55
606,2017-01-06,0,55
606,2017-01-07,0,55
606,2017-01-08,0,55
606,2017-01-09,0,55
606,2017-01-10,0,55
606,2017-01-11,0,55
606,2017-01-12,0,55
606,2017-01-13,0,55
606,2017-01-14,0,55
606,2017-01-15,0,55
606,2017-01-16,0,55
606,2017-01-17,0,55
606,2017-01-18,0,55
606,2017-01-19,0,55
606,2017-01-20,0,55
606,2017-01-21,0,55
606,2017-01-22,0,55
606,2017-01-23,0,55
606,2017-01-24,0,55
606,2017-01-25,0,55
606,2017-01-26,0,55
606,2017-01-27,0,55
606,2017-01-28,0,55
606,2017-01-29,0,55
606,2017-01-30,0,55
606,2017-01-31,0,55
606,2017-02-01,0,55
606,2017-02-02,0,55
606,2017-02-03,0,55
606,2017-02-04,0,55
606,2017-02-05,0,55
606,2017-02-06,0,55
606,2017-02-07,0,55
606,2017-02-08,0,55
606,2017-02-09,0,55
606,2017-02-10,0,55
606,2017-02-11,0,55
606,2017-02-12,0,55
606,2017-02-13,0,55
606,2017-02-14,0,55
606,2017-02-15,0,55
606,2017-02-16,0,55
606,2017-02-17,0,55
606,2017-02-18,0,55
606,2017-02-19,0,55
606,2017-02-20,0,55
606,2017-02-21,0,55
606,2017-02-22,0,55
606,2017-02-23,0,55
606,2017-02-24,0,55
606,2017-02-25,0,55
606,2017-02-26,0,55
606,2017-02-27,0,55
606,2017-02-28,0,55
606,2017-03-01,0,55
606,2017-03-02,0,55
606,2017-03-03,0,55
606,2017-03-04,0,55
606,2017-03-05,0,55
606,2017-03-06,0,55
606,2017-03-07,0,55
606,2017-03-08,0,55
606,2017-03-09,0,55
606,2017-03-10,0,55
606,2017-03-11,0,55
606,2017-03-12,0,55
606,2017-03-13,0,55
606,2017-03-14,0,55
606,2017-03-15,0,55
606,2017-03-16,0,55
606,2017-03-17,0,55
606,2017-03-18,0,55
606,2017-03-19,0,55
606,2017-03-20,0,55
606,2017-03-21,0,55
606,2017-03-22,0,55
606,2017-03-23,0,55
606,2017-03-24,0,55
606,2017-03-25,0,55
606,2017-03-26,0,55
606,2017-03-27,0,55
606,2017-03-28,0,55
606,2017-03-29,0,55
606,2017-03-30,0,55
606,2017-03-31,0,55
606,2017-04-01,0,55
606,2017-04-02,0,55
606,2017-04-03,0,55
606,2017-04-04,0,55
606,2017-04-05,0,55
606,2017-04-06,0,55
606,2017-04-07,0,55
606,2017-04-08,0,55
606,2017-04-09,0,55
606,2017-04-10,0,55
606,2017-04-11,0,55
606,2017-04-12,0,55
606,2017-04-13,0,55
606,2017-04-14,0,55
606,2017-04-15,0,55
606,2017-04-16,0,55
606,2017-04-17,0,55
606,2017-04-18,0,55
606,2017-04-19,0,55
606,2017-04-20,0,55
606,2017-04-21,0,55
606,2017-04-22,0,55
606,2017-04-23,0,55
606,2017-04-24,0,55
606,2017-04-25,0,55
606,2017-04-26,0,55
606,2017-04-27,0,55
606,2017-04-28,0,55
606,2017-04-29,0,55
606,2017-04-30,0,55
606,2017-05-01,0,55
606,2017-05-02,0,55
606,2017-05-03,0,55
606,2017-05-04,0,55
606,2017-05-05,0,55
606,2017-05-06,0,55
606,2017-05-07,0,55
606,2017-05-08,0,55
606,2017-05-09,0,55
606,2017-05-10,0,55
606,2017-05-11,0,55
606,2017-05-12,0,55
606,2017-05-13,0,55
606,2017-05-14,0,55
606,2017-05-15,0,55
606,2017-05-16,0,55
606,2017-05-17,0,55
606,2017-05-18,0,55
606,2017-05-19,0,55
606,2017-05-20,0,55
606,2017-05-21,0,55
606,2017-05-22,0,55
606,2017-05-23,0,55
606,2017-05-24,0,55
606,2017-05-25,0,55
606,2017-05-26,0,55
606,2017-05-27,0,55
606,2017-05-28,0,55
606,2017-05-29,0,55
606,2017-05-30,0,55
606,2017-05-31,0,55
606,2017-06-01,0,55
606,2017-06-02,0,55
606,2017-06-03,0,55
606,2017-06-04,0,55
606,2017-06-05,0,55
606,2017-06-06,0,55
606,2017-06-07,0,55
606,2017-06-08,0,55
606,2017-06-09,0,55
606,2017-06-10,0,55
606,2017-06-11,0,55
606,2017-06-12,0,55
606,2017-06-13,0,55
606,2017-06-14,0,55
606,2017-06-15,0,55
606,2017-06-16,0,55
606,2017-06-17,0,55
606,2017-06-18,0,55
606,2017-06-19,0,55
606,2017-06-20,0,55
606,2017-06-21,0,55
606,2017-06-22,0,55
606,2017-06-23,0,55
606,2017-06-24,0,55
606,2017-06-25,0,55
606,2017-06-26,0,55
606,2017-06-27,0,55
606,2017-06-28,0,55
606,2017-06-29,0,55
606,2017-06-30,0,55
606,2017-07-01,0,55
606,2017-07-02,0,55
606,2017-07-03,0,55
606,2017-07-04,0,55
606,2017-07-05,0,55
606,2017-07-06,0,55
606,2017-07-07,0,55
606,2017-07-08,0,55
606,2017-07-09,0,55
606,2017-07-10,0,55
606,2017-07-11,0,55
606,2017-07-12,0,55
606,2017-07-13,0,55
606,2017-07-14,0,55
606,2017-07-15,0,55
606,2017-07-16,0,55
606,2017-07-17,0,55
606,2017-07-18,0,55
606,2017-07-19,0,55
606,2017-07-20,0,55
606,2017-07-21,0,55
606,2017-07-22,0,55
606,2017-07-23,0,55
606,2017-07-24,0,55
606,2017-07-25,0,55
606,2017-07-26,0,55
606,2017-07-27,0,55
606,2017-07-28,0,55
606,2017-07-29,0,55
606,2017-07-30,0,55
606,2017-07-31,0,55
606,2017-08-01,0,55
606,2017-08-02,0,55
606,2017-08-03,0,55
606,2017-08-04,0,55
606,2017-08-05,0,55
606,2017-08-06,0,55
606,2017-08-07,0,55
606,2017-08-08,0,55
606,2017-08-09,0,55
606,2017-08-10,0,55
606,2017-08-11,0,55
606,2017-08-12,0,55
606,2017-08-13,0,55
606,2017-08-14,0,55
606,2017-08-15,0,55
606,2017-08-16,0,55
606,2017-08-17,0,55
606,2017-08-18,0,55
606,2017-08-19,0,55
606,2017-08-20,0,55
606,2017-08-21,0,55
606,2017-08-22,0,55
606,2017-08-23,0,55
606,2017-08-24,0,55
606,2017-08-25,0,55
606,2017-08-26,0,55
606,2017-08-27,0,55
606,2017-08-28,0,55
606,2017-08-29,0,55
606,2017-08-30,0,55
606,2017-08-31,0,55
606,2017-09-01,0,55
606,2017-09-02,0,55
606,2017-09-03,0,55
606,2017-09-04,0,55
606,2017-09-05,0,55
606,2017-09-06,0,55
606,2017-09-07,0,55
606,2017-09-08,0,55
606,2017-09-09,0,55
606,2017-09-10,0,55
606,2017-09-11,0,55
606,2017-09-12,0,55
606,2017-09-13,0,55
606,2017-09-14,0,55
606,2017-09-15,0,55
606,2017-09-16,0,55
606,2017-09-17,0,55
606,2017-09-18,0,55
606,2017-09-19,0,55
606,2017-09-20,0,55
606,2017-09-21,0,55
606,2017-09-22,0,55
606,2017-09-23,0,55
606,2017-09-24,0,55
606,2017-09-25,0,55
606,2017-09-26,0,55
606,2017-09-27,0,55
606,2017-09-28,0,55
606,2017-09-29,0,55
606,2017-09-30,0,55
606,2017-10-01,0,55
606,2017-10-02,0,55
606,2017-10-03,0,55
606,2017-10-04,0,55
606,2017-10-05,0,55
606,2017-10-06,0,55
606,2017-10-07,0,55
606,2017-10-08,0,55
606,2017-10-09,0,55
606,2017-10-10,0,55
606,2017-10-11,0,55
606,2017-10-12,0,55
606,2017-10-13,0,55
606,2017-10-14,0,55
606,2017-10-15,0,55
606,2017-10-16,0,55
606,2017-10-17,0,55
606,2017-10-18,0,55
606,2017-10-19,0,55
606,2017-10-20,0,55
606,2017-10-21,0,55
606,2017-10-22,0,55
606,2017-10-23,0,55
606,2017-10-24,0,55
606,2017-10-25,0,55
606,2017-10-26,0,55
606,2017-10-27,0,55
606,2017-10-28,0,55
606,2017-10-29,0,55
606,2017-10-30,0,55
606,2017-10-31,0,55
606,2017-11-01,0,55
606,2017-11-02,0,55
606,2017-11-03,0,55
606,2017-11-04,0,55
606,2017-11-05,0,55
606,2017-11-06,0,55
606,2017-11-07,0,55
606,2017-11-08,0,55
606,2017-11-09,0,55
606,2017-11-10,0,55
606,2017-11-11,0,55
606,2017-11-12,0,55
606,2017-11-13,0,55
606,2017-11-14,0,55
606,2017-11-15,0,55
606,2017-11-16,0,55
606,2017-11-17,0,55
606,2017-11-18,0,55
606,2017-11-19,0,55
606,2017-11-20,0,55
606,2017-11-21,0,55
606,2017-11-22,0,55
606,2017-11-23,0,55
606,2017-11-24,0,55
606,2017-11-25,0,55
606,2017-11-26,0,55
606,2017-11-27,0,55
606,2017-11-28,0,55
606,2017-11-29,0,55
606,2017-11-30,0,55
606,2017-12-01,0,55
606,2017-12-02,0,55
606,2017-12-03,0,55
606,2017-12-04,0,55
606,2017-12-05,0,55
606,2017-12-06,0,55
606,2017-12-07,0,55
606,2017-12-08,0,55
606,2017-12-09,0,55
606,2017-12-10,0,55
606,2017-12-11,0,55
606,2017-12-12,0,55
606,2017-12-13,0,55
606,2017-12-14,0,55
606,2017-12-15,0,55
606,2017-12-16,0,55
606,2017-12-17,0,55
606,2017-12-18,0,55
606,2017-12-19,0,55
606,2017-12-20,0,55
606,2017-12-21,0,55
606,2017-12-22,0,55
606,2017-12-23,0,55
606,2017-12-24,0,55
606,2017-12-25,0,55
606,2017-12-26,0,55
606,2017-12-27,0,55
606,2017-12-28,0,55
606,2017-12-29,0,55
606,2017-12-30,0,55
606,2017-12-31,0,55
606,2018-01-01,0,55
606,2018-01-02,0,55
606,2018-01-03,0,55
606,2018-01-04,0,55
606,2018-01-05,0,55
606,2018-01-06,0,55
606,2018-01-07,0,55
606,2018-01-08,0,55
606,2018-01-09,0,55
606,2018-01-10,0,55
606,2018-01-11,0,55
606,2018-01-12,0,55
606,2018-01-13,0,55
606,2018-01-14,0,55
606,2018-01-15,0,55
606,2018-01-16,0,55
606,2018-01-17,0,55
606,2018-01-18,0,55
606,2018-01-19,0,55
606,2018-01-20,0,55
606,2018-01-21,0,55
606,2018-01-22,0,55
606,2018-01-23,0,55
606,2018-01-24,0,55
606,2018-01-25,0,55
606,2018-01-26,0,55
606,2018-01-27,0,55
606,2018-01-28,0,55
606,2018-01-29,0,55
606,2018-01-30,0,55
606,2018-01-31,0,55
606,2018-02-01,0,55
606,2018-02-02,0,55
606,2018-02-03,0,55
606,2018-02-04,0,55
606,2018-02-05,0,55
606,2018-02-06,0,55
606,2018-02-07,0,55
606,2018-02-08,0,55
606,2018-02-09,0,55
606,2018-02-10,0,55
606,2018-02-11,0,55
606,2018-02-12,0,55
606,2018-02-13,0,55
606,2018-02-14,0,55
606,2018-02-15,0,55
606,2018-02-16,0,55
606,2018-02-17,0,55
606,2018-02-18,0,55
606,2018-02-19,0,55
606,2018-02-20,0,55
606,2018-02-21,0,55
606,2018-02-22,0,55
606,2018-02-23,0,55
606,2018-02-24,0,55
606,2018-02-25,0,55
606,2018-02-26,0,55
606,2018-02-27,0,55
606,2018-02-28,0,55
606,2018-03-01,0,55
606,2018-03-02,0,55
606,2018-03-03,0,55
606,2018-03-04,0,55
606,2018-03-05,0,55
606,2018-03-06,0,55
606,2018-03-07,0,55
606,2018-03-08,0,55
606,2018-03-09,0,55
606,2018-03-10,0,55
606,2018-03-11,0,55
606,2018-03-12,0,55
606,2018-03-13,0,55
606,2018-03-14,0,55
606,2018-03-15,0,55
606,2018-03-16,0,55
606,2018-03-17,0,55
606,2018-03-18,0,55
606,2018-03-19,0,55
606,2018-03-20,0,55
606,2018-03-21,0,55
606,2018-03-22,0,55
606,2018-03-23,0,55
606,2018-03-24,0,55
606,2018-03-25,0,55
606,2018-03-26,0,55
606,2018-03-27,0,55
606,2018-03-28,0,55
606,2018-03-29,0,55
606,2018-03-30,0,55
606,2018-03-31,0,55
606,2018-04-01,0,55
606,2018-04-02,0,55
606,2018-04-03,0,55
606,2018-04-04,0,55
606,2018-04-05,0,55
606,2018-04-06,0,55
606,2018-04-07,0,55
606,2018-04-08,0,55
606,2018-04-09,0,55
606,2018-04-10,0,55
606,2018-04-11,0,55
606,2018-04-12,0,55
606,2018-04-13,0,55
606,2018-04-14,0,55
606,2018-04-15,0,55
606,2018-04-16,0,55
606,2018-04-17,0,55
606,2018-04-18,0,55
606,2018-04-19,0,55
606,2018-04-20,0,55
606,2018-04-21,0,55
606,2018-04-22,0,55
606,2018-04-23,0,55
606,2018-04-24,0,55
606,2018-04-25,0,55
606,2018-04-26,0,55
606,2018-04-27,0,55
606,2018-04-28,0,55
606,2018-04-29,0,55
606,2018-04-30,0,55
606,2018-05-01,0,55
606,2018-05-02,0,55
606,2018-05-03,0,55
606,2018-05-04,0,55
606,2018-05-05,0,55
606,2018-05-06,0,55
606,2018-05-07,0,55
606,2018-05-08,0,55
606,2018-05-09,0,55
606,2018-05-10,0,55
606,2018-05-11,0,55
606,2018-05-12,0,55
606,2018-05-13,0,55
606,2018-05-14,0,55
606,2018-05-15,0,55
606,2018-05-16,0,55
606,2018-05-17,0,55
606,2018-05-18,0,55
606,2018-05-19,0,55
606,2018-05-20,0,55
606,2018-05-21,-1,55
606,2018-05-22,0,55
606,2018-05-23,0,55
606,2018-05-24,0,55
606,2018-05-25,0,55
606,2018-05-26,0,55
606,2018-05-27,0,55
606,2018-05-28,0,55
606,2018-05-29,0,55
606,2018-05-30,0,55
606,2018-05-31,0,55
606,2018-06-01,0,55
606,2018-06-02,0,55
606,2018-06-03,0,55
606,2018-06-04,0,55
606,2018-06-05,0,55
606,2018-06-06,0,55
606,2018-06-07,0,55
606,2018-06-08,0,55
606,2018-06-09,0,55
606,2018-06-10,0,55
606,2018-06-11,0,55
606,2018-06-12,0,55
606,2018-06-13,0,55
606,2018-06-14,0,55
606,2018-06-15,0,55
606,2018-06-16,0,55
606,2018-06-17,0,55
606,2018-06-18,0,55
606,2018-06-19,0,55
606,2018-06-20,0,55
606,2018-06-21,0,55
606,2018-06-22,0,55
606,2018-06-23,0,55
606,2018-06-24,0,55
606,2018-06-25,0,55
606,2018-06-26,0,55
606,2018-06-27,0,55
606,2018-06-28,0,55
606,2018-06-29,0,55
606,2018-06-30,0,55
606,2018-07-01,0,55
606,2018-07-02,321,55
606,2018-07-03,320,55
606,2018-07-04,205,55
606,2018-07-05,283,55
606,2018-07-06,291,55
606,2018-07-07,254,55
606,2018-07-08,84,55
606,2018-07-09,130,55
606,2018-07-10,150,55
606,2018-07-11,184,55
606,2018-07-12,241,55
606,2018-07-13,120,55
606,2018-07-14,170,55
606,2018-07-15,229,55
606,2018-07-16,302,55
606,2018-07-17,172,55
606,2018-07-18,220,55
606,2018-07-19,299,55
606,2018-07-20,302,55
606,2018-07-21,289,55
606,2018-07-22,277,55
606,2018-07-23,223,55
606,2018-07-24,220,55
606,2018-07-25,296,55
606,2018-07-26,223,55
606,2018-07-27,185,55
606,2018-07-28,157,55
606,2018-07-29,259,55
606,2018-07-30,278,55
606,2018-07-31,308,55
606,2018-08-01,278,55
606,2018-08-02,297,55
606,2018-08-03,330,55
606,2018-08-04,282,55
606,2018-08-05,233,55
606,2018-08-06,134,55
606,2018-08-07,170,55
606,2018-08-08,162,55
606,2018-08-09,239,55
606,2018-08-10,316,55
606,2018-08-11,241,55
606,2018-08-12,292,55
606,2018-08-13,158,55
606,2018-08-14,25,55
606,2018-08-15,258,55
606,2018-08-16,242,55
606,2018-08-17,310,55
606,2018-08-18,82,55
606,2018-08-19,32,55
606,2018-08-20,258,55
606,2018-08-21,295,55
606,2018-08-22,159,55
606,2018-08-23,273,55
606,2018-08-24,327,55
606,2018-08-25,336,55
606,2018-08-26,272,55
606,2018-08-27,326,55
606,2018-08-28,286,55
606,2018-08-29,297,55
606,2018-08-30,212,55
606,2018-08-31,198,55
606,2018-09-01,290,55
606,2018-09-02,78,55
606,2018-09-03,294,55
606,2018-09-04,352,55
606,2018-09-05,252,55
606,2018-09-06,308,55
606,2018-09-07,353,55
606,2018-09-08,329,55
606,2018-09-09,329,55
606,2018-09-10,265,55
606,2018-09-11,286,55
606,2018-09-12,236,55
606,2018-09-13,178,55
606,2018-09-14,157,55
606,2018-09-15,75,55
606,2018-09-16,116,55
606,2018-09-17,245,55
606,2018-09-18,57,55
606,2018-09-19,33,55
606,2018-09-20,-1,55
606,2018-09-21,267,55
606,2018-09-22,331,55
606,2018-09-23,336,55
606,2018-09-24,345,55
606,2018-09-25,88,55
606,2018-09-26,205,55
606,2018-09-27,276,55
606,2018-09-28,270,55
606,2018-09-29,292,55
606,2018-09-30,312,55
606,2018-10-01,316,55
606,2018-10-02,305,55
606,2018-10-03,283,55
606,2018-10-04,249,55
606,2018-10-05,262,55
606,2018-10-06,231,55
606,2018-10-07,225,55
606,2018-10-08,152,55
606,2018-10-09,258,55
606,2018-10-10,317,55
606,2018-10-11,320,55
606,2018-10-12,262,55
606,2018-10-13,223,55
606,2018-10-14,197,55
606,2018-10-15,249,55
606,2018-10-16,118,55
606,2018-10-17,266,55
606,2018-10-18,293,55
606,2018-10-19,291,55
606,2018-10-20,175,55
606,2018-10-21,84,55
606,2018-10-22,208,55
606,2018-10-23,301,55
606,2018-10-24,258,55
606,2018-10-25,-1,55
606,2018-10-26,-1,55
606,2018-10-27,296,55
606,2018-10-28,287,55
606,2018-10-29,291,55
606,2018-10-30,274,55
606,2018-10-31,238,55
606,2018-11-01,239,55
606,2018-11-02,206,55
606,2018-11-03,215,55
606,2018-11-04,100,55
606,2018-11-05,30,55
606,2018-11-06,55,55
606,2018-11-07,198,55
606,2018-11-08,-1,55
606,2018-11-09,214,55
606,2018-11-10,-1,55
606,2018-11-11,77,55
